0 & f(0.99400,0.60000) & 0.84122 \\
1 & f(0.96320,0.68000) & 0.87784 \\
2 & f(0.88856,0.74400) & 0.89199 \\
3 & f(0.72485,0.39520) & 0.64392 \\
4 & f(0.75588,0.11616) & 0.57988 \\
5 & f(0.64670,0.29293) & 0.59461 \\
6 & f(0.68936,0.43434) & 0.65298 \\
7 & f(0.74949,0.54747) & 0.72141 \\
8 & f(0.64159,0.23798) & 0.57931 \\
9 & f(0.64727,0.39038) & 0.62798 \\
10 & f(0.63782,0.11231) & 0.55679 \\
11 & f(0.64425,0.28985) & 0.59336 \\
12 & f(0.67940,0.03188) & 0.55738 \\
13 & f(0.67952,-0.17450) & 0.57212 \\
14 & f(0.57962,0.06040) & 0.54627 \\
15 & f(0.57969,0.24832) & 0.57528 \\
16 & f(0.58376,0.39866) & 0.62423 \\
17 & f(0.55500,0.51893) & 0.67755 \\
18 & f(0.59400,0.61514) & 0.73482 \\
19 & f(0.52720,0.69211) & 0.78142 \\
20 & f(0.43176,0.35369) & 0.60689 \\
21 & f(0.42941,0.08295) & 0.54796 \\
22 & f(0.46353,-0.13364) & 0.55145 \\
23 & f(0.42282,-0.30691) & 0.59214 \\
24 & f(0.39626,-0.04553) & 0.54861 \\
25 & f(0.42101,-0.23642) & 0.57314 \\
26 & f(0.53281,0.01086) & 0.54211 \\
27 & f(0.48824,-0.19131) & 0.56010 \\
28 & f(0.41460,0.04695) & 0.54685 \\
29 & f(0.34368,0.23756) & 0.58289 \\
30 & f(0.30894,-0.00995) & 0.56093 \\
31 & f(0.30715,-0.20796) & 0.58286 \\
32 & f(0.35772,-0.36637) & 0.61962 \\
33 & f(0.34218,-0.09309) & 0.55925 \\
34 & f(0.31174,0.12552) & 0.56821 \\
35 & f(0.38139,-0.09958) & 0.55426 \\
36 & f(0.38712,0.12034) & 0.55585 \\
37 & f(0.49569,-0.10373) & 0.54709 \\
38 & f(0.41455,0.11701) & 0.55260 \\
39 & f(0.49964,-0.10639) & 0.54734 \\
40 & f(0.50971,-0.28511) & 0.58232 \\
41 & f(0.57577,-0.42809) & 0.63580 \\
42 & f(0.64062,-0.54247) & 0.69800 \\
43 & f(0.63849,-0.23398) & 0.57795 \\
44 & f(0.60679,0.01282) & 0.54693 \\
45 & f(0.63344,-0.18975) & 0.56791 \\
46 & f(0.55075,-0.35180) & 0.60459 \\
47 & f(0.45060,-0.48144) & 0.65903 \\
48 & f(0.47248,-0.58515) & 0.71339 \\
49 & f(0.46998,-0.66812) & 0.76547 \\
50 & f(0.52399,-0.33450) & 0.59779 \\
51 & f(0.45319,-0.06760) & 0.54529 \\
52 & f(0.43055,-0.25408) & 0.57671 \\
53 & f(0.50244,-0.40326) & 0.62298 \\
54 & f(0.50195,-0.52261) & 0.67823 \\
55 & f(0.47956,-0.21809) & 0.56577 \\
56 & f(0.55565,-0.37447) & 0.61306 \\
57 & f(0.58452,-0.49958) & 0.66961 \\
58 & f(0.51562,-0.59966) & 0.72152 \\
59 & f(0.49049,-0.27973) & 0.58089 \\
60 & f(0.54239,-0.42378) & 0.63216 \\
61 & f(0.53392,-0.13903) & 0.55174 \\
62 & f(0.44313,-0.31122) & 0.59201 \\
63 & f(0.50851,-0.44898) & 0.64246 \\
64 & f(0.54280,-0.15918) & 0.55505 \\
65 & f(0.43824,0.07265) & 0.54653 \\
66 & f(0.44859,-0.14188) & 0.55332 \\
67 & f(0.52288,0.08650) & 0.54556 \\
68 & f(0.56430,0.26920) & 0.57965 \\
69 & f(0.55744,0.41536) & 0.62930 \\
70 & f(0.57595,0.53229) & 0.68584 \\
71 & f(0.57276,0.22583) & 0.56946 \\
72 & f(0.64421,-0.01934) & 0.55154 \\
73 & f(0.65137,-0.21547) & 0.57559 \\
74 & f(0.70509,-0.37238) & 0.63101 \\
75 & f(0.67408,-0.09790) & 0.56075 \\
76 & f(0.67126,-0.27832) & 0.59421 \\
77 & f(0.73701,-0.42266) & 0.65790 \\
78 & f(0.77161,-0.53812) & 0.72199 \\
79 & f(0.61929,-0.23050) & 0.57476 \\
80 & f(0.53343,0.01560) & 0.54219 \\
81 & f(0.44874,-0.18752) & 0.56083 \\
82 & f(0.48899,0.04998) & 0.54304 \\
83 & f(0.52120,-0.16001) & 0.55460 \\
84 & f(0.47896,-0.32801) & 0.59580 \\
85 & f(0.48316,-0.46241) & 0.64881 \\
86 & f(0.53653,-0.56993) & 0.70457 \\
87 & f(0.53123,-0.65594) & 0.75714 \\
88 & f(0.59298,-0.72475) & 0.80817 \\
89 & f(0.56038,-0.37980) & 0.61532 \\
